date,open,high,low,close,volume
2025-11-02,8.88,9.0,8.81,8.95,-1.21
2025-10-30,8.76,9.06,8.76,9.06,1.91
2025-10-29,8.9,9.07,8.8,8.89,-0.89
2025-10-28,9.0,9.0,8.8,8.97,1.24
2025-10-26,8.71,8.96,8.71,8.86,-0.23
2025-10-19,8.74,9.0,8.74,8.88,-0.22
2025-10-16,8.85,9.02,8.85,8.9,-1.11
2025-10-15,8.87,9.0,8.87,9.0,0.45
2025-10-14,8.82,9.05,8.82,8.96,-0.44
2025-10-13,8.83,9.0,8.83,9.0,0.22
2025-10-12,8.97,9.0,8.97,8.98,-1.75
2025-10-09,8.95,9.28,8.95,9.14,0.44
2025-10-08,9.0,9.1,8.93,9.1,1.11
2025-10-07,8.79,9.0,8.79,9.0,0.45
2025-09-28,8.82,9.1,8.82,8.96,-0.44
2025-09-25,8.84,9.1,8.84,9.0,-0.22
2025-09-24,9.1,9.1,9.0,9.02,-0.88
2025-09-23,8.9,9.2,8.9,9.1,0.89
2025-09-21,8.68,9.2,8.68,9.02,2.15
2025-09-18,8.83,8.83,8.83,8.83,-2.0
2025-09-08,9.0,9.1,9.0,9.01,-0.99
2025-09-07,8.86,9.21,8.86,9.1,0.78
2025-09-04,9.11,9.11,9.0,9.03,-0.88
2025-09-03,9.02,9.28,9.02,9.11,0.0
2025-09-02,9.0,9.11,9.0,9.11,0.44
2025-09-01,9.01,9.22,9.01,9.07,-0.87
2025-08-31,9.15,9.3,9.11,9.15,-1.08
2025-08-28,9.07,9.3,9.07,9.25,0.0
2025-08-27,9.1,9.28,9.1,9.25,-0.32
2025-08-26,9.1,9.28,9.1,9.28,0.87
2025-08-25,8.9,9.2,8.9,9.2,2.0
2025-08-24,9.04,9.1,9.01,9.02,-2.17
2025-08-21,9.31,9.31,9.13,9.22,-0.97
2025-08-20,8.88,9.41,8.88,9.31,2.87
2025-08-19,8.97,9.14,8.9,9.05,0.89
2025-08-18,8.87,9.01,8.87,8.97,-0.44
2025-08-17,9.05,9.19,8.9,9.01,-1.96
2025-08-14,9.1,9.22,9.0,9.19,-0.22
2025-08-13,9.1,9.21,9.1,9.21,-0.65
2025-08-12,9.31,9.4,9.23,9.27,-0.96
2025-08-11,9.18,9.58,9.18,9.36,0.0
2025-08-07,9.78,9.78,9.2,9.36,-2.4
2025-08-06,9.21,9.69,9.12,9.59,2.24
2025-08-05,9.23,9.55,9.23,9.38,-0.11
2025-08-04,9.4,9.79,9.3,9.39,-0.11
2025-08-03,9.31,9.51,9.31,9.4,-1.05
2025-07-31,9.32,9.82,9.32,9.5,-0.11
2025-07-30,9.5,9.7,9.5,9.51,-1.04
2025-07-29,9.28,9.94,9.28,9.61,2.56
2025-07-28,9.43,9.81,9.2,9.37,-2.6
2025-07-27,9.48,9.63,9.3,9.62,-0.41
2025-07-24,9.71,9.8,9.52,9.66,-2.33
2025-07-23,9.7,9.98,9.7,9.89,2.06
2025-07-22,9.34,9.7,9.34,9.69,1.68
2025-07-21,9.49,9.68,9.32,9.53,-1.55
2025-07-20,9.24,9.72,9.24,9.68,2.87
2025-07-17,9.71,9.71,9.33,9.41,-4.95
2025-07-16,9.54,10.1,9.52,9.9,1.85
2025-07-15,9.35,10.11,9.18,9.72,1.89
2025-07-14,9.65,9.65,9.1,9.54,0.42
2025-07-13,9.22,9.95,9.05,9.5,3.04
2025-07-10,9.11,9.3,9.1,9.22,-0.22
2025-07-09,9.16,9.39,9.05,9.24,-1.07
2025-07-08,9.17,9.4,9.1,9.34,0.0
2025-07-07,9.21,9.55,9.1,9.34,1.41
2025-07-06,9.2,9.38,9.14,9.21,-0.43
2025-07-03,9.14,9.4,9.04,9.25,-0.75
2025-07-02,9.08,9.35,9.08,9.32,1.3
2025-07-01,9.04,9.36,9.03,9.2,0.0
2025-06-30,9.0,9.28,9.0,9.2,2.22
2025-06-29,9.23,9.41,8.91,9.0,-0.55
2025-06-26,9.05,9.1,9.04,9.05,0.33
2025-06-25,9.4,9.4,8.91,9.02,-2.17
2025-06-24,9.15,9.31,9.06,9.22,2.67
2025-06-23,9.01,9.37,8.98,8.98,-0.44
2025-06-22,8.94,9.48,8.94,9.02,-1.1
2025-06-19,9.11,9.3,9.1,9.12,-0.22
2025-06-18,9.06,9.21,9.06,9.14,-0.87
2025-06-17,9.0,9.25,9.0,9.22,1.65
2025-06-16,9.34,9.52,9.02,9.07,-0.98
2025-06-15,9.3,9.3,9.1,9.16,-0.33
2025-06-12,9.24,9.4,9.1,9.19,-0.54
2025-06-11,9.13,9.3,9.13,9.24,0.87
2025-06-10,9.05,9.2,9.05,9.16,0.77
2025-06-09,9.01,9.19,9.01,9.09,0.22
2025-06-08,9.05,9.2,9.04,9.07,-1.41
2025-06-05,9.01,9.38,9.01,9.2,0.66
2025-06-04,9.1,9.42,9.07,9.14,0.44
2025-06-03,9.25,9.25,9.1,9.1,-1.09
2025-06-02,9.01,9.29,9.01,9.2,0.66
2025-05-28,9.11,9.22,9.11,9.14,-0.87
2025-05-27,9.01,9.3,9.01,9.22,0.99
2025-05-26,9.0,9.3,9.0,9.13,0.0
2025-05-25,9.1,9.3,8.92,9.13,-1.4
2025-05-22,9.2,9.3,9.1,9.26,0.65
2025-05-21,9.09,9.45,9.09,9.2,-0.76
2025-05-20,9.08,9.32,9.08,9.27,0.22
2025-05-19,9.07,9.31,9.06,9.25,1.09
2025-05-18,9.01,9.25,9.01,9.15,-0.33
2025-05-15,9.21,9.3,9.11,9.18,-2.24
2025-05-14,9.08,9.49,9.08,9.39,1.73
2025-05-13,9.12,9.3,9.12,9.23,-0.22
2025-05-11,9.12,9.39,9.12,9.25,-0.54
2025-05-08,9.16,9.35,9.15,9.3,1.42
2025-05-07,9.2,9.49,9.16,9.17,-1.5
2025-05-06,9.33,9.68,9.15,9.31,-0.21
2025-05-05,9.16,9.9,9.16,9.33,-0.11
2025-05-04,9.1,9.45,9.1,9.34,0.65
2025-04-30,9.39,9.44,9.21,9.28,0.76
2025-04-29,9.15,9.39,9.15,9.21,-0.43
2025-04-28,9.2,9.37,9.2,9.25,0.54
2025-04-27,9.11,9.27,9.11,9.2,0.99
2025-04-24,9.11,9.15,9.11,9.11,-0.22
2025-04-23,9.1,9.28,9.1,9.13,-0.22
2025-04-22,9.14,9.25,9.14,9.15,-0.87
2025-04-21,9.1,9.3,9.1,9.23,0.44
2025-04-20,9.15,9.4,9.11,9.19,-0.65
2025-04-17,9.03,9.72,9.03,9.25,0.43
2025-04-16,9.3,9.47,9.08,9.21,-0.97
2025-04-15,9.02,9.49,8.97,9.3,3.1
2025-04-13,8.97,9.1,8.97,9.02,-0.77
2025-04-10,8.93,9.18,8.93,9.09,-0.11
2025-04-09,8.87,9.12,8.7,9.1,0.55
2025-04-08,8.95,9.06,8.95,9.05,-0.88
2025-04-07,9.1,9.18,8.95,9.13,0.33
2025-04-03,9.05,9.3,9.05,9.1,-0.98
2025-04-02,9.2,9.2,9.01,9.19,-0.22
2025-04-01,8.85,9.21,8.85,9.21,1.99
2025-03-30,9.0,9.1,8.95,9.03,0.22
2025-03-27,8.96,9.36,8.96,9.01,0.11
2025-03-26,8.95,9.04,8.95,9.0,-0.11
2025-03-25,8.95,9.1,8.95,9.01,0.22
2025-03-24,9.0,9.0,8.95,8.99,-0.11
2025-03-23,9.05,9.05,8.95,9.0,-0.66
2025-03-20,8.97,9.24,8.97,9.06,0.0
2025-03-19,9.04,9.1,9.04,9.06,0.33
2025-03-18,9.0,9.1,9.0,9.03,-0.44
2025-03-17,9.02,9.22,9.02,9.07,0.67
2025-03-16,8.92,9.12,8.92,9.01,-0.55
2025-03-12,9.0,9.1,8.96,9.06,-0.22
2025-03-11,8.92,9.2,8.8,9.08,-0.22
2025-03-10,9.06,9.2,9.06,9.1,-1.09
2025-03-09,9.38,9.38,9.16,9.2,-3.87
2025-03-06,9.76,10.1,9.57,9.57,-1.95
2025-03-05,9.87,9.95,9.61,9.76,0.51
2025-03-04,9.85,9.94,9.68,9.71,-1.62
2025-03-03,9.2,10.0,8.85,9.87,6.47
2025-03-02,8.75,9.27,8.75,9.27,4.51
2025-02-27,8.9,9.0,8.67,8.87,-0.34
2025-02-25,8.7,9.04,8.7,8.9,0.34
2025-02-24,8.86,9.0,8.85,8.87,-0.34
2025-02-23,8.74,9.05,8.74,8.9,0.0
2025-02-20,8.83,9.18,8.83,8.9,-1.11
2025-02-18,9.02,9.07,8.9,9.0,-0.33
2025-02-17,8.83,9.1,8.83,9.03,0.33
2025-02-16,8.87,9.0,8.8,9.0,1.47
2025-02-13,8.9,9.25,8.87,8.87,-1.44
2025-02-12,8.87,9.0,8.87,9.0,0.33
2025-02-11,8.82,9.11,8.82,8.97,-0.33
2025-02-10,8.87,9.1,8.7,9.0,-0.55
2025-02-09,9.0,9.05,8.8,9.05,0.56
2025-02-06,8.85,9.18,8.85,9.0,-0.22
2025-02-05,9.0,9.22,8.91,9.02,-0.33
2025-02-04,9.0,9.28,8.83,9.05,-1.42
2025-02-03,9.18,9.18,8.96,9.18,0.0
2025-02-02,9.0,9.48,8.9,9.18,0.44
2025-01-28,8.92,9.4,8.75,9.14,0.55
2025-01-27,9.15,9.29,8.93,9.09,-0.66
2025-01-26,9.12,9.48,8.9,9.15,-1.61
2025-01-23,9.0,9.48,9.0,9.3,1.97
2025-01-22,9.13,9.43,9.07,9.12,-1.41
2025-01-21,9.25,9.43,9.08,9.25,0.0
2025-01-20,9.44,10.21,9.11,9.25,-3.95
2025-01-19,9.31,9.63,8.97,9.63,1.9
2025-01-16,9.45,10.42,9.34,9.45,-5.5
