date,open,high,low,close,symbol
2025-12-18,9.13,9.25,9.13,9.25,RMF2
2025-12-21,9.25,9.43,9.25,9.31,RMF2
2025-12-22,9.31,9.31,9.28,9.31,RMF2
2025-12-23,9.28,9.43,9.28,9.43,RMF2
2025-12-24,9.35,9.36,9.35,9.36,RMF2
2025-12-28,9.49,9.67,9.35,9.35,RMF2
2025-12-29,9.38,9.53,9.38,9.39,RMF2
2025-12-31,9.38,9.55,9.38,9.55,RMF2
2026-01-01,9.41,9.59,9.41,9.59,RMF2
2026-01-04,9.42,9.59,9.41,9.59,RMF2
2026-01-05,9.43,9.61,9.43,9.48,RMF2
2026-01-06,9.48,9.65,9.48,9.65,RMF2
2026-01-07,9.65,9.82,9.53,9.53,RMF2
2026-01-08,9.52,9.53,9.45,9.45,RMF2
2026-01-12,9.35,9.35,9.35,9.35,RMF2
2026-01-13,9.53,9.72,9.36,9.72,RMF2
2026-01-14,9.68,9.68,9.49,9.49,RMF2
2026-01-18,9.46,9.64,9.46,9.64,RMF2
2026-01-20,9.82,9.82,9.82,9.82,RMF2
2026-01-21,9.63,9.63,9.63,9.63,RMF2
2026-01-22,9.47,9.5,9.47,9.5,RMF2
2026-01-25,9.69,9.88,9.54,9.66,RMF2
2026-01-26,9.65,9.84,9.65,9.68,RMF2
2026-01-27,9.87,10.06,9.63,9.63,RMF2
2026-01-28,9.53,9.6,9.53,9.6,RMF2
2026-01-29,9.65,9.89,9.65,9.81,RMF2
2026-02-01,9.67,9.92,9.67,9.71,RMF2
2026-02-02,9.71,9.71,9.66,9.66,RMF2
2026-02-03,9.85,9.85,9.61,9.73,RMF2
2026-02-04,9.65,9.89,9.65,9.89,RMF2
2026-02-05,9.9,9.95,9.9,9.9,RMF2
2026-02-08,9.99,10.09,9.99,10.0,RMF2
2026-02-09,9.9,10.0,9.9,10.0,RMF2
2026-02-10,9.9,9.99,9.8,9.99,RMF2
2026-02-11,9.8,10.13,9.8,9.9,RMF2
2026-02-12,9.85,10.18,9.85,10.18,RMF2
2026-02-16,9.98,10.0,9.81,9.81,RMF2
2026-02-17,9.68,9.95,9.68,9.95,RMF2
2026-02-22,9.81,9.87,9.81,9.87,RMF2
2026-02-23,9.87,10.0,9.68,10.0,RMF2
2026-02-24,9.81,9.81,9.66,9.66,RMF2
2026-02-25,9.55,9.84,9.55,9.84,RMF2
2026-02-26,9.99,9.99,9.81,9.81,RMF2
2026-03-01,9.81,9.82,9.81,9.82,RMF2
2026-03-03,9.82,10.0,9.82,10.0,RMF2
2026-03-10,10.03,10.03,10.03,10.03,RMF2
2026-03-11,10.0,10.02,10.0,10.02,RMF2
2026-03-12,10.01,10.01,10.01,10.01,RMF2
2026-03-15,10.01,10.23,10.01,10.06,RMF2
2026-03-16,10.07,10.25,10.06,10.06,RMF2
2026-03-17,10.08,10.25,10.08,10.25,RMF2
2026-03-19,10.1,10.13,10.1,10.13,RMF2
2026-03-22,10.12,10.35,10.12,10.35,RMF2
2026-03-23,10.17,10.37,10.17,10.23,RMF2
2026-03-24,10.22,10.34,10.11,10.34,RMF2
2026-03-25,10.19,10.52,10.19,10.4,RMF2
2026-03-26,10.22,10.42,10.22,10.29,RMF2
2026-03-29,10.45,10.45,10.25,10.4,RMF2
2026-03-30,10.21,10.27,10.21,10.21,RMF2
2026-03-31,10.21,10.25,10.15,10.15,RMF2
2026-04-01,10.35,10.35,10.15,10.2,RMF2
2026-04-02,10.3,10.3,10.3,10.3,RMF2
2026-04-05,10.1,10.1,9.91,9.91,RMF2
2026-04-06,10.1,10.3,10.1,10.3,RMF2
2026-04-07,10.1,10.31,10.1,10.15,RMF2
2026-04-08,10.35,10.35,10.21,10.22,RMF2
2026-04-09,10.42,10.42,10.05,10.05,RMF2
2026-04-10,10.25,10.38,10.22,10.22,RMF2
2026-04-13,10.03,10.4,10.03,10.4,RMF2
2026-04-15,10.2,10.4,10.2,10.4,RMF2
2026-04-16,10.2,10.2,10.0,10.2,RMF2
2026-04-17,10.01,10.45,10.01,10.25,RMF2
2026-04-20,10.15,10.2,10.15,10.2,RMF2
2026-04-21,9.95,10.0,9.95,10.0,RMF2
2026-04-22,10.0,10.0,10.0,10.0,RMF2
2026-04-23,10.0,10.3,10.0,10.3,RMF2
2026-04-24,10.0,10.3,10.0,10.01,RMF2
2026-04-27,10.01,10.4,10.0,10.4,RMF2
2026-04-28,10.4,10.71,10.2,10.2,RMF2
2026-04-29,10.2,10.0,10.0,10.0,RMF2
2026-04-30,10.02,10.2,10.02,10.1,RMF2
2026-05-04,10.02,10.1,10.01,10.01,RMF2
2026-05-05,10.01,10.31,10.01,10.1,RMF2
2026-05-06,10.01,10.2,10.01,10.2,RMF2
2026-05-07,10.02,10.2,10.02,10.2,RMF2
2026-05-11,10.1,10.2,10.1,10.2,RMF2
2026-05-12,10.1,10.2,10.1,10.15,RMF2
2026-05-13,10.1,10.15,10.1,10.11,RMF2
2026-05-14,10.3,10.54,10.2,10.2,RMF2
2026-05-15,10.3,10.3,10.2,10.2,RMF2
2026-05-18,10.1,10.1,10.1,10.1,RMF2
2026-05-19,10.1,10.1,10.1,10.1,RMF2
2026-05-20,10.15,10.5,10.15,10.5,RMF2
2026-05-25,10.2,10.2,10.2,10.2,RMF2
2026-05-26,10.2,10.2,10.1,10.1,RMF2
2026-05-27,9.81,10.4,9.81,10.4,RMF2
2026-06-01,10.1,10.11,10.1,10.11,RMF2
2026-06-02,10.11,10.41,10.11,10.41,RMF2
2026-06-03,10.4,10.4,10.12,10.14,RMF2
2026-06-05,10.15,10.35,10.15,10.35,RMF2
2026-06-08,10.15,10.35,10.15,10.35,RMF2
